序号,股票代码,股票简称,预测指标,业绩变动,预测数值,业绩变动幅度,业绩变动原因,预告类型,上年同期值,公告日期
965,603779,威龙股份,营业收入,"预计2025年1-12月营业收入:34,100万元至39,100万元。",366000000.0,-17.775,"主营业务影响:报告期内,葡萄酒行业市场低迷,公司主营业务收入减少,导致经营亏损。非经营性损益的影响:公司对龙湖基地种植的葡萄树进行报废处理;孙公司武威市威龙有机葡萄种植有限公司未决诉讼计提了预计损失;兴业银行预计负债多计提冲回处理。经营性损益的影响:受产品策略调整,部分原酒因储存时间过长、品质降低等原因,对原酒计提减值准备。",略减,445130023.73,2026-01-21
966,603779,威龙股份,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:4,092万元至6,611万元。",-53515000.0,-621.51,"主营业务影响:报告期内,葡萄酒行业市场低迷,公司主营业务收入减少,导致经营亏损。非经营性损益的影响:公司对龙湖基地种植的葡萄树进行报废处理;孙公司武威市威龙有机葡萄种植有限公司未决诉讼计提了预计损失;兴业银行预计负债多计提冲回处理。经营性损益的影响:受产品策略调整,部分原酒因储存时间过长、品质降低等原因,对原酒计提减值准备。",首亏,10261600.0,2026-01-21
967,603778,国晟科技,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:32,500万元至65,000万元。",-487500000.0,-361.97,"2025年,光伏行业由于结构性产能过剩,供需矛盾仍然突出,在激烈的行业竞争条件下,组件价格持续处于相对低位。受此影响,公司主营业务收入减少,盈利能力下降。同时基于谨慎性原则,公司计提了存货跌价准备和长期资产减值准备,对本报告期的经营业绩造成较大影响。",增亏,-105526300.0,2026-01-21
968,603778,国晟科技,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:31,400万元至63,900万元。",-476500000.0,-86.72,"2025年,光伏行业由于结构性产能过剩,供需矛盾仍然突出,在激烈的行业竞争条件下,组件价格持续处于相对低位。受此影响,公司主营业务收入减少,盈利能力下降。同时基于谨慎性原则,公司计提了存货跌价准备和长期资产减值准备,对本报告期的经营业绩造成较大影响。",增亏,-255194600.0,2026-01-21
969,603682,锦和商管,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:17,500万元至22,500万元。",-200000000.0,-108.755,"归属于上市公司股东的净利润及归属于上市公司股东的扣除非经常性损益的净利润较上年同期减少主要原因为:1、商办市场整体需求承压、竞争加剧,市场租金下行,尽管公司采取以价换量策略,2025年末较年初出租率略有上升,但边际租金成交单价下行,导致公司主营业务毛利率下滑,净利润进一步承压;2、报告期内,公司采取以价换量政策,公司根据《企业会计准则第8号-资产减值》及相关会计政策规定,考虑到报告期内部分项目边际租金成交单价下行,基于谨慎性原则,对相关资产进行年末减值测试,经分析评估并初步测算,拟对部分存在减值迹象的资产及商誉计提资产减值准备。同时以预期信用损失为基础,对应收账款、其他应收款等进行减值测试并计提信用减值准备。截至目前,相关商誉减值测试、长期资产减值测试、信用减值测试工作尚在进行中,最终计提金额以审定数据为准。除上述事项外,公司与同昌盛业的交易对手方就业绩承诺签署《补充协议》,针对2021年收购同昌盛业股权转让对价调整等安排(具体可参考《关于拟与同昌盛业及相关方签署变更业绩补偿承诺相关文件的公告》(公告编号:2024-047)),该事项已经2025年第一次临时股东大会审议通过后生效(公告编号:2025-001),该交易导致确认公允价值变动收益,对本期归属于上市公司股东的净利润存在正面影响。",增亏,-95806400.0,2026-01-21
970,603682,锦和商管,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:7,500万元至12,500万元。",-100000000.0,-777.815,"归属于上市公司股东的净利润及归属于上市公司股东的扣除非经常性损益的净利润较上年同期减少主要原因为:1、商办市场整体需求承压、竞争加剧,市场租金下行,尽管公司采取以价换量策略,2025年末较年初出租率略有上升,但边际租金成交单价下行,导致公司主营业务毛利率下滑,净利润进一步承压;2、报告期内,公司采取以价换量政策,公司根据《企业会计准则第8号-资产减值》及相关会计政策规定,考虑到报告期内部分项目边际租金成交单价下行,基于谨慎性原则,对相关资产进行年末减值测试,经分析评估并初步测算,拟对部分存在减值迹象的资产及商誉计提资产减值准备。同时以预期信用损失为基础,对应收账款、其他应收款等进行减值测试并计提信用减值准备。截至目前,相关商誉减值测试、长期资产减值测试、信用减值测试工作尚在进行中,最终计提金额以审定数据为准。除上述事项外,公司与同昌盛业的交易对手方就业绩承诺签署《补充协议》,针对2021年收购同昌盛业股权转让对价调整等安排(具体可参考《关于拟与同昌盛业及相关方签署变更业绩补偿承诺相关文件的公告》(公告编号:2024-047)),该事项已经2025年第一次临时股东大会审议通过后生效(公告编号:2025-001),该交易导致确认公允价值变动收益,对本期归属于上市公司股东的净利润存在正面影响。",首亏,14753200.0,2026-01-21
971,603659,璞泰来,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:230,000万元至240,000万元,同比上年增长:93.18%至101.58%,同比上年增长110,938.2万元至120,938.2万元。",2350000000.0,97.38,"2025年全球汽车市场智能化电动化趋势持续,储能市场需求强劲增长,消费电子市场复苏,新能源电池及材料阶段性去库存周期结束,产业经营环境逐步改善。集团各事业部积极推进提质增效等经营举措,密切配合核心客户的研发需求与协同,新产品、新工艺和新质产能不断导入,有效捕捉了高端客户及储能市场的增量需求,实现了自身经营业绩的筑底回升与快速增长。湿法隔膜与涂覆加工业务量同步大幅增长,基膜自给率提升,持续巩固“材料+设备+工艺”的协同优势,基膜新产品及涂覆新工艺的导入有效匹配客户产品升级的需求。石墨负极材料业务强化工艺降本的各项举措,聚焦主流客户对快充、长循环、高容量等新产品的需求,硅碳负极量产,业务筑底回升,经营逐步改善。功能性材料PVDF、PAA、陶瓷涂覆材料等产品销售快速增长,有效贡献业绩增量。公司通过多元化的产品组合与产业链协同赋能客户,实现了盈利的显著改善与提高。",预增,1190618000.0,2026-01-21
972,603659,璞泰来,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:217,000万元至227,000万元,同比上年增长:104.11%至113.52%,同比上年增长110,686.82万元至120,686.82万元。",2220000000.0,108.815,"2025年全球汽车市场智能化电动化趋势持续,储能市场需求强劲增长,消费电子市场复苏,新能源电池及材料阶段性去库存周期结束,产业经营环境逐步改善。集团各事业部积极推进提质增效等经营举措,密切配合核心客户的研发需求与协同,新产品、新工艺和新质产能不断导入,有效捕捉了高端客户及储能市场的增量需求,实现了自身经营业绩的筑底回升与快速增长。湿法隔膜与涂覆加工业务量同步大幅增长,基膜自给率提升,持续巩固“材料+设备+工艺”的协同优势,基膜新产品及涂覆新工艺的导入有效匹配客户产品升级的需求。石墨负极材料业务强化工艺降本的各项举措,聚焦主流客户对快充、长循环、高容量等新产品的需求,硅碳负极量产,业务筑底回升,经营逐步改善。功能性材料PVDF、PAA、陶瓷涂覆材料等产品销售快速增长,有效贡献业绩增量。公司通过多元化的产品组合与产业链协同赋能客户,实现了盈利的显著改善与提高。",预增,1063131800.0,2026-01-21
973,603636,南威软件,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:39,600万元至47,200万元。",-434000000.0,-30.775,"1、报告期内,公司G端主营业务在面临国内市场需求收缩与行业竞争加剧的背景下,仍实现营业收入同比增长,但受毛利率下降影响,净利润亏损;同时公司在B端、C端等创新业务上加大研发与运营投入,由于这些新兴业务尚处于产品研发完善投入期,对2025年利润尚未产生实际贡献。2、公司根据战略转型、业务发展情况和外部市场环境变化,按照企业会计准则及公司稳健的会计政策等相关规定,基于谨慎性原则对应收类款项、商誉、无形资产、存货进行全面检查和减值测试,预计计提各项减值准备合计约2.2亿元,较上年同期增加约1.43亿元,在剔除计提上述各项减值准备的影响后,主营业务经营利润同比增长。3、报告期内,在国家政策的有力支持下,公司充分把握政策机遇,采取切实有效的措施,有效推进应收账款的回收工作,全年经营活动现金净流入超4亿元,再创历史新高。4、展望未来,公司的发展前景具备较强支撑与增长潜力。一是公司积极推进AI转型与业务重构,形成“算力+算法+数据”的全栈AI能力和“硬件+平台+垂直应用”的行业应用场景,助力公司加速产品化、服务化转型,在数字政府领域建立技术和商业模式壁垒,为持续获取高质量订单、扩大市场份额提供有力支撑;二是公司北京七星园数字经济产业智算中心首批高性能算力服务器已正式上架投入运营,算力业务进入商业化阶段,为新增长曲线奠定基础;三是公司海外业务多点突破,阿尔及利亚国家公共服务平台项目已完成6个系统的验收,并在新加坡、沙特阿拉伯、南非、巴基斯坦等海外市场取得从0到1的商机突破,有望在2026年形成订单;四是公司茶寿健康已实现从“战略蓝图”到“商业价值”变现的商业闭环,未来有望成为新增长极;五是公司2025年存量订单为24.12亿元(同比增长10.54%),为公司持续稳健经营提供了坚实保障。",增亏,-331868400.0,2026-01-21
974,603636,南威软件,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:38,000万元至45,600万元。",-418000000.0,-34.915,"1、报告期内,公司G端主营业务在面临国内市场需求收缩与行业竞争加剧的背景下,仍实现营业收入同比增长,但受毛利率下降影响,净利润亏损;同时公司在B端、C端等创新业务上加大研发与运营投入,由于这些新兴业务尚处于产品研发完善投入期,对2025年利润尚未产生实际贡献。2、公司根据战略转型、业务发展情况和外部市场环境变化,按照企业会计准则及公司稳健的会计政策等相关规定,基于谨慎性原则对应收类款项、商誉、无形资产、存货进行全面检查和减值测试,预计计提各项减值准备合计约2.2亿元,较上年同期增加约1.43亿元,在剔除计提上述各项减值准备的影响后,主营业务经营利润同比增长。3、报告期内,在国家政策的有力支持下,公司充分把握政策机遇,采取切实有效的措施,有效推进应收账款的回收工作,全年经营活动现金净流入超4亿元,再创历史新高。4、展望未来,公司的发展前景具备较强支撑与增长潜力。一是公司积极推进AI转型与业务重构,形成“算力+算法+数据”的全栈AI能力和“硬件+平台+垂直应用”的行业应用场景,助力公司加速产品化、服务化转型,在数字政府领域建立技术和商业模式壁垒,为持续获取高质量订单、扩大市场份额提供有力支撑;二是公司北京七星园数字经济产业智算中心首批高性能算力服务器已正式上架投入运营,算力业务进入商业化阶段,为新增长曲线奠定基础;三是公司海外业务多点突破,阿尔及利亚国家公共服务平台项目已完成6个系统的验收,并在新加坡、沙特阿拉伯、南非、巴基斯坦等海外市场取得从0到1的商机突破,有望在2026年形成订单;四是公司茶寿健康已实现从“战略蓝图”到“商业价值”变现的商业闭环,未来有望成为新增长极;五是公司2025年存量订单为24.12亿元(同比增长10.54%),为公司持续稳健经营提供了坚实保障。",增亏,-309831000.0,2026-01-21
975,603566,普莱柯,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:17,600万元至19,500万元,同比上年增长:89.64%至110.11%,同比上年增长8,319.35万元至10,219.35万元。",185500000.0,99.875,"报告期,禽腺病毒系列联苗等新产品上市为公司贡献了新的业绩增长点,宠物板块通过持续发力渠道搭建和品牌打造进而取得了快速发展。2025年,面对行业竞争加剧、价格承压以及下游养殖行情波动等不利因素,公司聚焦营销体系变革,加强销售费用管控,同时优化生产工艺和采购管理,进一步降低生产成本,整体展现了较强的经营韧性,实现了高质量、高效益发展的经营目标。",预增,92806500.0,2026-01-21
976,603566,普莱柯,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:13,700万元至15,300万元,同比上年增长:70.19%至90.07%,同比上年增长5,650.3万元至7,250.3万元。",145000000.0,80.13,"报告期,禽腺病毒系列联苗等新产品上市为公司贡献了新的业绩增长点,宠物板块通过持续发力渠道搭建和品牌打造进而取得了快速发展。2025年,面对行业竞争加剧、价格承压以及下游养殖行情波动等不利因素,公司聚焦营销体系变革,加强销售费用管控,同时优化生产工艺和采购管理,进一步降低生产成本,整体展现了较强的经营韧性,实现了高质量、高效益发展的经营目标。",预增,80497000.0,2026-01-21
977,603466,风语筑,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:2,000万元至3,000万元。",-25000000.0,81.54,"1.报告期内,受市场整体环境影响,公司经营仍面临一定压力,归属于上市公司股东的净利润预计为亏损,但亏损金额较上年同期大幅减少,经营状况呈现改善态势。2.营收端预计实现增长:公司聚焦传统文化IP创新转化,成功打造“东坡乐事”“古榕文学村”等标杆性城市策展项目,通过在地文化挖掘、沉浸式消费场景塑造与多元业态转型,驱动营收规模实现增长。3.亏损原因:尽管营收实现增长,但公司人工成本和期间费用等支出具有较强刚性,短期内难以显著压缩,致使公司整体仍处于亏损状态。4.报告期内,公司强化资金管理与回款力度,本期经营活动产生的现金流量净额预计约为2亿元,现金回流能力和财务状况持续保持良好水平,为公司持续稳健经营与业务拓展提供坚实保障。",减亏,-135444608.36,2026-01-21
978,603466,风语筑,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:2,100万元至3,100万元。",-26000000.0,77.675,"1.报告期内,受市场整体环境影响,公司经营仍面临一定压力,归属于上市公司股东的净利润预计为亏损,但亏损金额较上年同期大幅减少,经营状况呈现改善态势。2.营收端预计实现增长:公司聚焦传统文化IP创新转化,成功打造“东坡乐事”“古榕文学村”等标杆性城市策展项目,通过在地文化挖掘、沉浸式消费场景塑造与多元业态转型,驱动营收规模实现增长。3.亏损原因:尽管营收实现增长,但公司人工成本和期间费用等支出具有较强刚性,短期内难以显著压缩,致使公司整体仍处于亏损状态。4.报告期内,公司强化资金管理与回款力度,本期经营活动产生的现金流量净额预计约为2亿元,现金回流能力和财务状况持续保持良好水平,为公司持续稳健经营与业务拓展提供坚实保障。",减亏,-116462803.11,2026-01-21
979,603377,ST东时,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:50,500万元至60,500万元。",-555000000.0,8.67,"一是由于公司培训学员人数较去年同期有所下降,导致营业收入减少;二是由于公司诉讼及行政处罚事项导致营业外支出及相关税费等有所增加,同时受诉讼事项牵连,对部分项目产生不利影响,造成了大额资产减值损失。",减亏,-607691000.0,2026-01-21
980,603377,ST东时,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:60,000万元至70,000万元。",-650000000.0,27.98,"一是由于公司培训学员人数较去年同期有所下降,导致营业收入减少;二是由于公司诉讼及行政处罚事项导致营业外支出及相关税费等有所增加,同时受诉讼事项牵连,对部分项目产生不利影响,造成了大额资产减值损失。",减亏,-902556500.0,2026-01-21
981,603335,迪生力,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:3,500万元至5,000万元。",42500000.0,129.35,"(一)本期归属于母公司所有者的净利润同比扭亏为盈的主要原因(1)本报告期,公司与台山市土储中心签订《台山市国有土地使用权收回补偿协议书》,根据协议约定,公司位于台山市台城街道办事处兴业路1号地块的土地收回价格为人民币9,139.5062万元,2025年12月26日,公司已收到1号地块第一期补偿款6,500万元,是本期利润增加的原因之一。(2)本报告期,公司完成认购广东新农人农业科技集团股份有限公司(以下简称“新农人公司”)股权暨转让控股子公司广东迪生力绿色食品有限公司(以下简称“绿色食品公司”)股权的交易,绿色食品公司不再纳入合并报表范围,公司持有新农人公司20.20%的股份,实现资产增值,是本期利润增加的原因之一。(3)本报告期,公司已完成转让控股子公司广东威玛新材料股份有限公司(以下简称“广东威玛”)部分股权,是本期利润增加的原因之一。(二)本期归属于母公司所有者的扣除非经常性损益后的净利润亏损的主要原因(1)公司主营业务汽车铝轮毂及轮胎产品大部分销往海外市场,本报告期内,因国际贸易壁垒、原材料价格上涨影响,海外需求萎缩,订单不及预期,未能实现满负荷生产,导致生产成本增加,国内市场价格竞争激烈,导致汽车零部件板块营业收入下降,对本期营业收入及利润造成一定影响。(2)本报告期,公司控股子公司广东威玛因市场波动较大,采取谨慎经营措施,部分生产采取代工模式,产能利用率不足,造成生产成本偏高,对本期利润造成一定影响。2026年,公司将根据全球经济环境和市场动态分析评估,采取审慎的经营指导思想,加强对公司经营风险和成本的管控,以规避市场波动风险为前提,发挥公司多年建立的销售渠道优势,扩大市场销售份额,加快扩充高质量的业务板块,增强公司综合竞争力,提高公司盈利能力,同时加快推动公司原旧厂区土地收储工作,补充公司流动资金,增加效益。",扭亏,-144816100.0,2026-01-21
982,603335,迪生力,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:11,000万元至12,500万元。",-117500000.0,29.48,"(一)本期归属于母公司所有者的净利润同比扭亏为盈的主要原因(1)本报告期,公司与台山市土储中心签订《台山市国有土地使用权收回补偿协议书》,根据协议约定,公司位于台山市台城街道办事处兴业路1号地块的土地收回价格为人民币9,139.5062万元,2025年12月26日,公司已收到1号地块第一期补偿款6,500万元,是本期利润增加的原因之一。(2)本报告期,公司完成认购广东新农人农业科技集团股份有限公司(以下简称“新农人公司”)股权暨转让控股子公司广东迪生力绿色食品有限公司(以下简称“绿色食品公司”)股权的交易,绿色食品公司不再纳入合并报表范围,公司持有新农人公司20.20%的股份,实现资产增值,是本期利润增加的原因之一。(3)本报告期,公司已完成转让控股子公司广东威玛新材料股份有限公司(以下简称“广东威玛”)部分股权,是本期利润增加的原因之一。(二)本期归属于母公司所有者的扣除非经常性损益后的净利润亏损的主要原因(1)公司主营业务汽车铝轮毂及轮胎产品大部分销往海外市场,本报告期内,因国际贸易壁垒、原材料价格上涨影响,海外需求萎缩,订单不及预期,未能实现满负荷生产,导致生产成本增加,国内市场价格竞争激烈,导致汽车零部件板块营业收入下降,对本期营业收入及利润造成一定影响。(2)本报告期,公司控股子公司广东威玛因市场波动较大,采取谨慎经营措施,部分生产采取代工模式,产能利用率不足,造成生产成本偏高,对本期利润造成一定影响。2026年,公司将根据全球经济环境和市场动态分析评估,采取审慎的经营指导思想,加强对公司经营风险和成本的管控,以规避市场波动风险为前提,发挥公司多年建立的销售渠道优势,扩大市场销售份额,加快扩充高质量的业务板块,增强公司综合竞争力,提高公司盈利能力,同时加快推动公司原旧厂区土地收储工作,补充公司流动资金,增加效益。",减亏,-166621600.0,2026-01-21
983,603258,电魂网络,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:16,000万元至23,000万元。",-195000000.0,-3779.8,"(一)公司收购的全资子公司厦门游动网络科技有限公司本年度游戏充值流水大幅下降,对公司利润影响较大,同时导致公司商誉出现明显减值迹象,预计确认的商誉减值准备金额同比大幅增加,最终减值金额以中介机构评估、审计为准。(二)报告期内公司部分存量游戏流水同比下降较多,对业绩也产生了较大影响。",首亏,5299200.0,2026-01-21
984,603258,电魂网络,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:16,000万元至23,000万元。",-195000000.0,-737.695,"(一)公司收购的全资子公司厦门游动网络科技有限公司本年度游戏充值流水大幅下降,对公司利润影响较大,同时导致公司商誉出现明显减值迹象,预计确认的商誉减值准备金额同比大幅增加,最终减值金额以中介机构评估、审计为准。(二)报告期内公司部分存量游戏流水同比下降较多,对业绩也产生了较大影响。",首亏,30578900.0,2026-01-21
985,603223,恒通股份,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:25,000万元至28,000万元,同比上年增长:63.47%至83.09%,同比上年增长9,706.78万元至12,706.78万元。",265000000.0,73.28,"报告期内,公司全资子公司山东裕龙港务有限公司建设的生产性泊位投入使用,随着山东裕龙石化产业园区核心企业的开工率及产能逐步爬升,码头吞吐量和港口利用率大幅增加,公司港口业务板块利润显著增加。",预增,152932200.0,2026-01-21
986,603223,恒通股份,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:25,000万元至28,000万元,同比上年增长:61.22%至80.57%,同比上年增长9,493.18万元至12,493.18万元。",265000000.0,70.895,"报告期内,公司全资子公司山东裕龙港务有限公司建设的生产性泊位投入使用,随着山东裕龙石化产业园区核心企业的开工率及产能逐步爬升,码头吞吐量和港口利用率大幅增加,公司港口业务板块利润显著增加。",预增,155068200.0,2026-01-21
987,603185,弘元绿能,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:18,000万元至25,000万元。",215000000.0,107.97,"2025年,光伏行业继续面临周期性挑战,全年新增装机虽维持增长,但阶段性产能过剩与供需错配的矛盾持续存在,产业链各环节产品价格持续承压,尤其是四季度银浆价格大幅上涨,使得公司部分产品的生产成本增加,经营压力有所增大。此外,基于谨慎性原则,公司对部分长期资产计提减值准备,对本期业绩产生一定影响。虽然存在上述情况,但公司展现出较强的经营韧性。报告期内,公司依托垂直一体化产业链布局,通过硅料、硅片、电池、组件的内部协同,有效减轻了主产业链各环节价格波动的冲击。公司2025年经营业绩较2024年有较大幅度改善,且公司财务健康,资产负债率长期维持在60%以下,具有良好的抗风险能力。此外,报告期内,公司转让了内蒙古鑫元硅材料科技有限公司的部分股权,将增加公司2025年度合并利润总额约2.91亿元,具体内容详见公司于2025年12月16日披露的《关于转让内蒙古鑫元硅材料科技有限公司股权的进展公告》(公告编号:2025-071)。",扭亏,-2696887100.0,2026-01-21
988,603185,弘元绿能,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:25,000万元至31,000万元。",-280000000.0,89.585,"2025年,光伏行业继续面临周期性挑战,全年新增装机虽维持增长,但阶段性产能过剩与供需错配的矛盾持续存在,产业链各环节产品价格持续承压,尤其是四季度银浆价格大幅上涨,使得公司部分产品的生产成本增加,经营压力有所增大。此外,基于谨慎性原则,公司对部分长期资产计提减值准备,对本期业绩产生一定影响。虽然存在上述情况,但公司展现出较强的经营韧性。报告期内,公司依托垂直一体化产业链布局,通过硅料、硅片、电池、组件的内部协同,有效减轻了主产业链各环节价格波动的冲击。公司2025年经营业绩较2024年有较大幅度改善,且公司财务健康,资产负债率长期维持在60%以下,具有良好的抗风险能力。此外,报告期内,公司转让了内蒙古鑫元硅材料科技有限公司的部分股权,将增加公司2025年度合并利润总额约2.91亿元,具体内容详见公司于2025年12月16日披露的《关于转让内蒙古鑫元硅材料科技有限公司股权的进展公告》(公告编号:2025-071)。",减亏,-2687905400.0,2026-01-21
989,603127,昭衍新药,营业收入,"预计2025年1-12月营业收入:157,259.91万元至173,813.58万元,同比上年下降:13.9%至22.1%,同比上年降低28,019.8万元至44,573.47万元。",1655367450.0,-18.0,"(一)本报告期内,生物资产市场价格上涨叠加自身自然生长增值,双重因素驱动其公允价值正向变动,为公司业绩做出积极贡献。(二)本报告期内,公司实验室继续保持良好稳定的运营状态,但受前期行业竞争剧烈的滞后影响,本报告期履约合同的收入和毛利率同比降低,实验室服务业务利润贡献下降。",略减,2018333800.0,2026-01-21
990,603127,昭衍新药,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润盈利:23,261.06万元至34,891.6万元,同比上年增长:214%至371%,同比上年增长15,853.52万元至27,484.06万元。",290763300.0,292.5,"(一)本报告期内,生物资产市场价格上涨叠加自身自然生长增值,双重因素驱动其公允价值正向变动,为公司业绩做出积极贡献。(二)本报告期内,公司实验室继续保持良好稳定的运营状态,但受前期行业竞争剧烈的滞后影响,本报告期履约合同的收入和毛利率同比降低,实验室服务业务利润贡献下降。",预增,74075400.0,2026-01-21
991,603127,昭衍新药,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润盈利:24,638万元至36,956.99万元,同比上年增长:945.2%至1467.7%,同比上年增长22,280.66万元至34,599.65万元。",307974950.0,1206.45,"(一)本报告期内,生物资产市场价格上涨叠加自身自然生长增值,双重因素驱动其公允价值正向变动,为公司业绩做出积极贡献。(二)本报告期内,公司实验室继续保持良好稳定的运营状态,但受前期行业竞争剧烈的滞后影响,本报告期履约合同的收入和毛利率同比降低,实验室服务业务利润贡献下降。",预增,23573400.0,2026-01-21
992,601933,永辉超市,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:294,000万元。",-2940000000.0,-21.99,"2025年,公司进行了重大的经营战略调整,从“规模扩张”转向“质量增长”,重新定位了“新永辉、新品质”的战略发展。门店布局方面,公司报告期内深度调改了315家门店,并关闭了381家与公司未来战略定位不相符的门店。门店调改对公司利润的影响主要包含调改相关的资产报废损失、停业装修营业收入损失、一次性开办费投入等,其中资产报废及一次性投入合计约9.1亿元。此外,门店因停业装修产生的毛利额损失预估约3亿元。与此同时,关闭381家门店也产生了较大损失,主要包含资产报废损失、人员优化离职补偿、租赁相关的违约赔偿等。商品策略方面,公司首先改革了供应链,秉承“阳光透明、品质驱动、效率提升”的理念,围绕“阳光供应链、裸价直采、核心聚焦、冷链升级、门店协同”五大方向展开,通过系统性举措破解传统供应链痛点。为此,公司短期面临缺货及毛利率下滑的压力,对公司营业收入造成了一定的影响,随着供应链改革的深入,上述影响已逐步消除。对外投资及资产减值方面,公司持有的境外股权投资Advantage Solutions股票因股价持续下跌本年确认公允价值变动损益-2.36亿元。此外,公司对持有的长期资产(主要为持续亏损门店资产)进行减值测试,并计提了减值准备。根据初步测算,本年度公司预计将计提长期资产减值1.62亿元(最终金额以审计结果为准)。",增亏,-2410000000.0,2026-01-21
993,601933,永辉超市,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:214,000万元。",-2140000000.0,-45.58,"2025年,公司进行了重大的经营战略调整,从“规模扩张”转向“质量增长”,重新定位了“新永辉、新品质”的战略发展。门店布局方面,公司报告期内深度调改了315家门店,并关闭了381家与公司未来战略定位不相符的门店。门店调改对公司利润的影响主要包含调改相关的资产报废损失、停业装修营业收入损失、一次性开办费投入等,其中资产报废及一次性投入合计约9.1亿元。此外,门店因停业装修产生的毛利额损失预估约3亿元。与此同时,关闭381家门店也产生了较大损失,主要包含资产报废损失、人员优化离职补偿、租赁相关的违约赔偿等。商品策略方面,公司首先改革了供应链,秉承“阳光透明、品质驱动、效率提升”的理念,围绕“阳光供应链、裸价直采、核心聚焦、冷链升级、门店协同”五大方向展开,通过系统性举措破解传统供应链痛点。为此,公司短期面临缺货及毛利率下滑的压力,对公司营业收入造成了一定的影响,随着供应链改革的深入,上述影响已逐步消除。对外投资及资产减值方面,公司持有的境外股权投资Advantage Solutions股票因股价持续下跌本年确认公允价值变动损益-2.36亿元。此外,公司对持有的长期资产(主要为持续亏损门店资产)进行减值测试,并计提了减值准备。根据初步测算,本年度公司预计将计提长期资产减值1.62亿元(最终金额以审计结果为准)。",增亏,-1470000000.0,2026-01-21
994,600855,航天长峰,归属于上市公司股东的净利润,"预计2025年1-12月归属于上市公司股东的净利润亏损:17,000万元至20,000万元,同比上年增长4,594万元至7,594万元。",-185000000.0,24.78,"本报告期内,公司业绩预亏主要原因如下:一是高端医疗装备业务市场开拓不及预期,亏损持续扩大;二是军工电子红外光电业务受新签合同额下降和军品定价因素等原因影响,收入和利润未见改善。公共安全业务战略转型初见成效,收入增加、部分长账龄应收账款实现回款,经营业绩有所改善。",减亏,-245940500.0,2026-01-21
995,600855,航天长峰,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:17,500万元至20,500万元。",-190000000.0,29.2,"本报告期内,公司业绩预亏主要原因如下:一是高端医疗装备业务市场开拓不及预期,亏损持续扩大;二是军工电子红外光电业务受新签合同额下降和军品定价因素等原因影响,收入和利润未见改善。公共安全业务战略转型初见成效,收入增加、部分长账龄应收账款实现回款,经营业绩有所改善。",减亏,-268373200.0,2026-01-21
996,600597,光明乳业,扣除非经常性损益后的净利润,"预计2025年1-12月扣除非经常性损益后的净利润亏损:3,700万元至9,700万元。",-67000000.0,-139.39,"公司预计2025年度归属于母公司所有者的净利润为负值,主要原因如下:2025年度,公司海外子公司Synlait Milk Limited(新西兰新莱特乳业有限公司)(以下简称“新莱特”)生产基地出现生产问题,造成存货报废、生产成本费用增加等直接损失较大,对新莱特当期损益造成影响,导致新莱特2025年度经营亏损。本公司持有新莱特65.25%的股份,新莱特经营亏损导致本公司归属于母公司净利润为负值。新莱特上述问题已基本得到解决。",首亏,170083600.0,2026-01-21
